id,type,ap_name,x_pdf_pt,y_pdf_pt,x_pdf_px,y_pdf_px,x_dxf,y_dxf,cluster_items,label_distance_pdf_pt,mapping_quality,registration_median_error_dxf,registration_p95_error_dxf
AP_001,violet,D1-45,3025.500,233.558,6051.0,467.1,32428.706986,33716.115663,16,12.845,good,0.009831,1.658803
AP_002,violet,D1-43,2369.730,233.681,4739.5,467.4,32345.634755,33500.204679,16,8.755,good,0.009831,1.658803
AP_003,violet,D1-47,3716.464,233.760,7432.9,467.5,32516.347124,33943.571948,16,10.519,good,0.009831,1.658803
AP_004,violet,D1-49,4337.636,234.503,8675.3,469.0,32595.319624,34147.982808,16,12.881,good,0.009831,1.658803
AP_005,orange,U2-06,3072.720,234.619,6145.4,469.2,32435.041092,33731.527128,16,12.812,good,0.009831,1.658803
AP_006,orange,U1-05,3643.770,234.881,7287.5,469.8,32507.502983,33919.497295,16,12.381,good,0.009831,1.658803
AP_007,orange,U2-02,4409.861,234.900,8819.7,469.8,32604.604369,34171.710665,16,13.715,good,0.009831,1.658803
AP_008,violet,D1-39,1387.481,235.099,2775.0,470.2,32221.610195,33176.645030,16,10.551,good,0.009831,1.658803
AP_009,orange,U1-09,2385.060,235.200,4770.1,470.4,32348.077704,33505.059198,16,13.587,good,0.009831,1.658803
AP_010,violet,D2-48,3841.590,235.279,7683.2,470.6,32532.705757,33984.574022,16,12.303,good,0.009831,1.658803
AP_011,orange,U1-03,4255.935,235.361,8511.9,470.7,32585.247435,34120.975932,16,12.355,good,0.009831,1.658803
AP_012,orange,U2-10,2108.276,235.464,4216.6,470.9,32313.084879,33413.901798,16,13.605,good,0.009831,1.658803
AP_013,violet,D2-44,2702.944,235.680,5405.9,471.4,32388.524649,33609.653359,16,8.403,good,0.009831,1.658803
AP_014,orange,U2-04,3759.870,235.841,7519.7,471.7,32522.533672,33957.598537,16,13.022,good,0.009831,1.658803
AP_015,violet,D2-46,3182.479,236.012,6365.0,472.0,32449.410681,33767.485795,16,12.303,good,0.009831,1.658803
AP_016,orange,U2-12,1704.739,236.483,3409.5,473.0,32262.275305,33280.918472,16,13.586,good,0.009831,1.658803
AP_017,orange,U2-08,2654.351,236.558,5308.7,473.1,32382.654874,33593.544305,16,8.215,good,0.009831,1.658803
AP_018,orange,U1-13,1595.036,236.580,3190.1,473.2,32248.403594,33244.789404,16,13.031,good,0.009831,1.658803
AP_019,violet,D2-40,1669.676,236.604,3339.4,473.2,32257.871570,33269.359601,16,9.785,good,0.009831,1.658803
AP_020,orange,U1-07,2954.715,237.023,5909.4,474.0,32420.876387,33692.372389,16,8.210,good,0.009831,1.658803
AP_021,orange,U1-15,1296.979,237.263,2594.0,474.5,32210.852172,33146.575183,16,13.028,good,0.009831,1.658803
AP_022,violet,D1-41,1819.620,237.278,3639.2,474.6,32277.097210,33318.639398,16,9.080,good,0.009831,1.658803
AP_023,violet,D2-42,2082.480,237.623,4165.0,475.2,32310.525944,33405.135521,16,9.874,good,0.009831,1.658803
AP_024,orange,U2-14,1410.769,238.099,2821.5,476.2,32225.549349,33183.931611,16,13.894,good,0.009831,1.658803
AP_025,violet,D1-37,1032.877,238.358,2065.8,476.7,32177.740202,33059.487898,16,9.295,good,0.009831,1.658803
AP_026,orange,U2-16,1053.919,238.718,2107.8,477.4,32180.525516,33066.369561,16,13.559,good,0.009831,1.658803
AP_027,violet,D2-38,1238.460,239.509,2476.9,479.0,32204.174965,33127.024710,16,10.046,good,0.009831,1.658803
AP_028,orange,U1-17,967.620,244.298,1935.2,488.6,32171.424990,33037.250714,16,9.679,good,0.009831,1.658803
AP_029,orange,U1-11,1951.189,244.943,3902.4,489.9,32296.295875,33360.983532,16,16.716,good,0.009831,1.658803
AP_030,violet,D2-36,959.310,248.543,1918.6,497.1,32171.769329,33033.976841,16,18.551,good,0.009831,1.658803
AP_031,violet,D2-50,4417.800,251.261,8835.6,502.5,32610.997046,34172.250631,16,15.902,good,0.009831,1.658803
