entity_id,vertex_index,x_dxf,y_dxf
TR_0001,0,32241.947608,32803.113746
TR_0001,1,32225.492865,32748.756544
TR_0002,0,32225.492865,32748.756544
TR_0002,1,32148.427891,32778.339017
TR_0003,0,32148.427891,32778.339017
TR_0003,1,32162.762606,32815.682227
TR_0004,0,32178.258779,32767.587978
TR_0004,1,32196.145541,32818.934901
TR_0005,0,32196.145541,32818.934901
TR_0005,1,32204.426848,32890.736148
TR_0006,0,32204.426848,32890.736148
TR_0006,1,32213.766367,32908.435504
TR_0007,0,32213.766367,32908.435504
TR_0007,1,32215.458651,32920.793929
TR_0008,0,32215.458651,32920.793929
TR_0008,1,32170.541885,33040.790337
TR_0009,0,32170.541885,33040.790337
TR_0009,1,32174.385767,33046.872417
TR_0010,0,32174.385767,33046.872417
TR_0010,1,32606.234106,34171.831309
TR_0011,0,32606.234106,34171.831309
TR_0011,1,32761.830180,34108.425813
TR_0012,0,32724.779966,34123.523798
TR_0012,1,32204.442717,32756.836939
