curve_id,vertex_index,x_pdf_pt,y_pdf_pt,x_px,y_px,curve_length_pdf_pt,curve_length_px
WC_0001,0,792.72,204.24,3303.0,851.0,147.53,614.7
WC_0001,1,792.24,212.4,3301.0,885.0,147.53,614.7
WC_0001,2,795.6,213.12,3315.0,888.0,147.53,614.7
WC_0001,3,796.8,214.56,3320.0,894.0,147.53,614.7
WC_0001,4,792.24,216.48,3301.0,902.0,147.53,614.7
WC_0001,5,792.24,220.32,3301.0,918.0,147.53,614.7
WC_0001,6,793.68,221.28,3307.0,922.0,147.53,614.7
WC_0001,7,792.24,223.2,3301.0,930.0,147.53,614.7
WC_0001,8,792.24,226.32,3301.0,943.0,147.53,614.7
WC_0001,9,797.04,227.28,3321.0,947.0,147.53,614.7
WC_0001,10,800.88,226.8,3337.0,945.0,147.53,614.7
WC_0001,11,802.08,228.96,3342.0,954.0,147.53,614.7
WC_0001,12,802.32,236.4,3343.0,985.0,147.53,614.7
WC_0001,13,801.6,239.52,3340.0,998.0,147.53,614.7
WC_0001,14,794.16,239.52,3309.0,998.0,147.53,614.7
WC_0001,15,792.48,241.44,3302.0,1006.0,147.53,614.7
WC_0001,16,792.48,250.08,3302.0,1042.0,147.53,614.7
WC_0001,17,794.64,251.52,3311.0,1048.0,147.53,614.7
WC_0001,18,799.2,251.28,3330.0,1047.0,147.53,614.7
WC_0001,19,800.16,255.12,3334.0,1063.0,147.53,614.7
WC_0001,20,799.44,263.52,3331.0,1098.0,147.53,614.7
WC_0001,21,794.16,263.76,3309.0,1099.0,147.53,614.7
WC_0001,22,792.24,265.2,3301.0,1105.0,147.53,614.7
WC_0001,23,792.24,288.0,3301.0,1200.0,147.53,614.7
WC_0001,24,796.32,289.44,3318.0,1206.0,147.53,614.7
WC_0001,25,796.08,291.12,3317.0,1213.0,147.53,614.7
WC_0001,26,794.16,291.12,3309.0,1213.0,147.53,614.7
WC_0001,27,792.48,292.32,3302.0,1218.0,147.53,614.7
WC_0001,28,792.48,297.6,3302.0,1240.0,147.53,614.7
WC_0001,29,795.36,298.56,3314.0,1244.0,147.53,614.7
WC_0001,30,804.48,298.08,3352.0,1242.0,147.53,614.7
WC_0002,0,571.68,220.08,2382.0,917.0,57.717,240.5
WC_0002,1,569.28,220.32,2372.0,918.0,57.717,240.5
WC_0002,2,569.04,225.84,2371.0,941.0,57.717,240.5
WC_0002,3,566.88,227.28,2362.0,947.0,57.717,240.5
WC_0002,4,566.88,228.48,2362.0,952.0,57.717,240.5
WC_0002,5,569.04,230.64,2371.0,961.0,57.717,240.5
WC_0002,6,566.64,236.88,2361.0,987.0,57.717,240.5
WC_0002,7,530.4,237.36,2210.0,989.0,57.717,240.5
WC_0003,0,571.92,220.32,2383.0,918.0,77.023,320.9
WC_0003,1,571.92,226.08,2383.0,942.0,77.023,320.9
WC_0003,2,572.88,230.16,2387.0,959.0,77.023,320.9
WC_0003,3,573.84,231.12,2391.0,963.0,77.023,320.9
WC_0003,4,573.36,232.56,2389.0,969.0,77.023,320.9
WC_0003,5,572.16,232.56,2384.0,969.0,77.023,320.9
WC_0003,6,570.96,233.76,2379.0,974.0,77.023,320.9
WC_0003,7,570.72,235.92,2378.0,983.0,77.023,320.9
WC_0003,8,571.92,236.88,2383.0,987.0,77.023,320.9
WC_0003,9,585.84,236.88,2441.0,987.0,77.023,320.9
WC_0003,10,586.8,236.16,2445.0,984.0,77.023,320.9
WC_0003,11,586.8,233.76,2445.0,974.0,77.023,320.9
WC_0003,12,587.52,233.04,2448.0,971.0,77.023,320.9
WC_0003,13,588.96,233.76,2454.0,974.0,77.023,320.9
WC_0003,14,588.96,236.16,2454.0,984.0,77.023,320.9
WC_0003,15,589.92,236.88,2458.0,987.0,77.023,320.9
WC_0003,16,623.76,236.64,2599.0,986.0,77.023,320.9
WC_0004,0,484.08,223.68,2017.0,932.0,54.48,227.0
WC_0004,1,483.84,235.2,2016.0,980.0,54.48,227.0
WC_0004,2,483.12,237.12,2013.0,988.0,54.48,227.0
WC_0004,3,460.08,237.36,1917.0,989.0,54.48,227.0
WC_0004,4,457.2,236.64,1905.0,986.0,54.48,227.0
WC_0004,5,442.32,237.36,1843.0,989.0,54.48,227.0
WC_0005,0,387.6,229.2,1615.0,955.0,136.044,566.9
WC_0005,1,379.68,229.92,1582.0,958.0,136.044,566.9
WC_0005,2,372.24,228.48,1551.0,952.0,136.044,566.9
WC_0005,3,367.92,231.12,1533.0,963.0,136.044,566.9
WC_0005,4,368.16,236.64,1534.0,986.0,136.044,566.9
WC_0005,5,399.84,236.64,1666.0,986.0,136.044,566.9
WC_0005,6,407.76,237.36,1699.0,989.0,136.044,566.9
WC_0005,7,421.2,236.88,1755.0,987.0,136.044,566.9
WC_0005,8,422.16,235.2,1759.0,980.0,136.044,566.9
WC_0005,9,422.88,222.48,1762.0,927.0,136.044,566.9
WC_0005,10,424.8,222.96,1770.0,929.0,136.044,566.9
WC_0005,11,424.8,225.84,1770.0,941.0,136.044,566.9
WC_0005,12,426.24,227.04,1776.0,946.0,136.044,566.9
WC_0005,13,447.6,227.04,1865.0,946.0,136.044,566.9
WC_0005,14,448.8,222.48,1870.0,927.0,136.044,566.9
WC_0005,15,450.48,222.96,1877.0,929.0,136.044,566.9
WC_0005,16,451.68,227.04,1882.0,946.0,136.044,566.9
WC_0005,17,455.04,227.04,1896.0,946.0,136.044,566.9
WC_0006,0,455.04,229.44,1896.0,956.0,53.181,221.6
WC_0006,1,429.36,229.44,1789.0,956.0,53.181,221.6
WC_0006,2,425.04,231.36,1771.0,964.0,53.181,221.6
WC_0006,3,424.32,236.16,1768.0,984.0,53.181,221.6
WC_0006,4,425.28,237.12,1772.0,988.0,53.181,221.6
WC_0006,5,441.84,237.36,1841.0,989.0,53.181,221.6
WC_0007,0,506.4,232.08,2110.0,967.0,17.575,73.2
WC_0007,1,505.92,235.92,2108.0,983.0,17.575,73.2
WC_0007,2,504.24,236.88,2101.0,987.0,17.575,73.2
WC_0007,3,492.48,237.36,2052.0,989.0,17.575,73.2
WC_0008,0,619.92,232.56,2583.0,969.0,7.47,31.1
WC_0008,1,623.52,232.56,2598.0,969.0,7.47,31.1
WC_0008,2,624.0,236.4,2600.0,985.0,7.47,31.1
WC_0009,0,168.72,233.76,703.0,974.0,5.254,21.9
WC_0009,1,169.68,235.92,707.0,983.0,5.254,21.9
WC_0009,2,171.84,237.84,716.0,991.0,5.254,21.9
WC_0010,0,509.52,234.72,2123.0,978.0,2.9,12.1
WC_0010,1,508.32,232.08,2118.0,967.0,2.9,12.1
WC_0011,0,509.76,234.72,2124.0,978.0,6.109,25.5
WC_0011,1,514.08,230.4,2142.0,960.0,6.109,25.5
WC_0012,0,509.52,234.96,2123.0,979.0,3.439,14.3
WC_0012,1,509.76,236.4,2124.0,985.0,3.439,14.3
WC_0012,2,511.68,236.88,2132.0,987.0,3.439,14.3
WC_0013,0,639.84,237.12,2666.0,988.0,13.442,56.0
WC_0013,1,626.4,237.36,2610.0,989.0,13.442,56.0
WC_0014,0,708.72,237.12,2953.0,988.0,73.303,305.4
WC_0014,1,675.36,237.12,2814.0,988.0,73.303,305.4
WC_0014,2,673.92,235.92,2808.0,983.0,73.303,305.4
WC_0014,3,672.96,233.04,2804.0,971.0,73.303,305.4
WC_0014,4,671.76,233.76,2799.0,974.0,73.303,305.4
WC_0014,5,671.52,235.68,2798.0,982.0,73.303,305.4
WC_0014,6,670.32,236.88,2793.0,987.0,73.303,305.4
WC_0014,7,640.32,237.12,2668.0,988.0,73.303,305.4
WC_0015,0,709.2,237.12,2955.0,988.0,13.2,55.0
WC_0015,1,722.4,237.12,3010.0,988.0,13.2,55.0
WC_0016,0,265.44,237.36,1106.0,989.0,30.481,127.0
WC_0016,1,234.96,237.6,979.0,990.0,30.481,127.0
WC_0017,0,265.92,237.36,1108.0,989.0,37.227,155.1
WC_0017,1,291.84,236.88,1216.0,987.0,37.227,155.1
WC_0017,2,303.12,237.6,1263.0,990.0,37.227,155.1
WC_0018,0,351.36,237.36,1464.0,989.0,46.287,192.9
WC_0018,1,352.56,236.64,1469.0,986.0,46.287,192.9
WC_0018,2,364.8,237.36,1520.0,989.0,46.287,192.9
WC_0018,3,365.76,233.28,1524.0,972.0,46.287,192.9
WC_0018,4,365.28,228.0,1522.0,950.0,46.287,192.9
WC_0018,5,366.48,227.04,1527.0,946.0,46.287,192.9
WC_0018,6,368.64,227.28,1536.0,947.0,46.287,192.9
WC_0018,7,372.48,225.84,1552.0,941.0,46.287,192.9
WC_0018,8,381.12,227.52,1588.0,948.0,46.287,192.9
WC_0018,9,387.6,226.8,1615.0,945.0,46.287,192.9
WC_0019,0,492.0,237.36,2050.0,989.0,19.003,79.2
WC_0019,1,486.0,236.64,2025.0,986.0,19.003,79.2
WC_0019,2,486.0,223.68,2025.0,932.0,19.003,79.2
WC_0020,0,529.92,237.36,2208.0,989.0,17.766,74.0
WC_0020,1,512.16,236.88,2134.0,987.0,17.766,74.0
WC_0021,0,736.08,237.36,3067.0,989.0,13.288,55.4
WC_0021,1,732.72,236.64,3053.0,986.0,13.288,55.4
WC_0021,2,722.88,237.12,3012.0,988.0,13.288,55.4
WC_0022,0,736.32,237.36,3068.0,989.0,84.221,350.9
WC_0022,1,737.52,236.64,3073.0,986.0,84.221,350.9
WC_0022,2,772.8,237.12,3220.0,988.0,84.221,350.9
WC_0022,3,786.0,236.64,3275.0,986.0,84.221,350.9
WC_0022,4,789.12,234.72,3288.0,978.0,84.221,350.9
WC_0022,5,790.08,232.32,3292.0,968.0,84.221,350.9
WC_0022,6,789.84,204.24,3291.0,851.0,84.221,350.9
WC_0023,0,216.24,237.6,901.0,990.0,18.537,77.2
WC_0023,1,226.8,236.88,945.0,987.0,18.537,77.2
WC_0023,2,234.72,237.6,978.0,990.0,18.537,77.2
WC_0024,0,303.36,237.6,1264.0,990.0,43.505,181.3
WC_0024,1,319.92,236.64,1333.0,986.0,43.505,181.3
WC_0024,2,328.32,237.36,1368.0,989.0,43.505,181.3
WC_0024,3,345.6,236.88,1440.0,987.0,43.505,181.3
WC_0024,4,346.56,237.6,1444.0,990.0,43.505,181.3
WC_0025,0,347.04,237.6,1446.0,990.0,3.847,16.0
WC_0025,1,350.88,237.36,1462.0,989.0,3.847,16.0
WC_0026,0,125.52,237.84,523.0,991.0,61.217,255.1
WC_0026,1,90.96,237.12,379.0,988.0,61.217,255.1
WC_0026,2,64.32,237.84,268.0,991.0,61.217,255.1
WC_0027,0,172.08,237.84,717.0,991.0,3.12,13.0
WC_0027,1,175.2,237.84,730.0,991.0,3.12,13.0
WC_0028,0,206.16,237.84,859.0,991.0,30.48,127.0
WC_0028,1,175.68,237.84,732.0,991.0,30.48,127.0
WC_0029,0,206.64,237.84,861.0,991.0,9.374,39.1
WC_0029,1,207.6,237.12,865.0,988.0,9.374,39.1
WC_0029,2,215.76,237.6,899.0,990.0,9.374,39.1
WC_0030,0,126.0,239.04,525.0,996.0,61.869,257.8
WC_0030,1,126.0,240.72,525.0,1003.0,61.869,257.8
WC_0030,2,125.04,241.44,521.0,1006.0,61.869,257.8
WC_0030,3,124.56,255.84,519.0,1066.0,61.869,257.8
WC_0030,4,123.36,256.56,514.0,1069.0,61.869,257.8
WC_0030,5,114.24,256.8,476.0,1070.0,61.869,257.8
WC_0030,6,112.32,258.24,468.0,1076.0,61.869,257.8
WC_0030,7,112.08,277.44,467.0,1156.0,61.869,257.8
WC_0030,8,114.48,277.92,477.0,1158.0,61.869,257.8
WC_0030,9,117.12,276.96,488.0,1154.0,61.869,257.8
WC_0030,10,122.88,272.64,512.0,1136.0,61.869,257.8
WC_0031,0,639.84,239.04,2666.0,996.0,12.962,54.0
WC_0031,1,626.88,239.28,2612.0,997.0,12.962,54.0
WC_0032,0,708.48,239.04,2952.0,996.0,68.415,285.1
WC_0032,1,672.96,239.76,2804.0,999.0,68.415,285.1
WC_0032,2,640.08,239.04,2667.0,996.0,68.415,285.1
WC_0033,0,708.72,239.04,2953.0,996.0,14.16,59.0
WC_0033,1,722.88,239.04,3012.0,996.0,14.16,59.0
WC_0034,0,161.04,239.28,671.0,997.0,9.287,38.7
WC_0034,1,162.24,238.08,676.0,992.0,9.287,38.7
WC_0034,2,166.08,237.12,692.0,988.0,9.287,38.7
WC_0034,3,166.56,233.52,694.0,973.0,9.287,38.7
WC_0035,0,350.88,239.28,1462.0,997.0,4.108,17.1
WC_0035,1,346.8,239.76,1445.0,999.0,4.108,17.1
WC_0036,0,441.84,239.28,1841.0,997.0,221.195,921.6
WC_0036,1,399.6,239.52,1665.0,998.0,221.195,921.6
WC_0036,2,396.48,240.48,1652.0,1002.0,221.195,921.6
WC_0036,3,395.28,251.28,1647.0,1047.0,221.195,921.6
WC_0036,4,395.52,294.0,1648.0,1225.0,221.195,921.6
WC_0036,5,396.96,298.08,1654.0,1242.0,221.195,921.6
WC_0036,6,402.48,298.8,1677.0,1245.0,221.195,921.6
WC_0036,7,447.84,298.56,1866.0,1244.0,221.195,921.6
WC_0036,8,449.28,297.6,1872.0,1240.0,221.195,921.6
WC_0036,9,449.76,286.8,1874.0,1195.0,221.195,921.6
WC_0036,10,448.32,281.52,1868.0,1173.0,221.195,921.6
WC_0036,11,450.0,280.32,1875.0,1168.0,221.195,921.6
WC_0036,12,449.76,271.44,1874.0,1131.0,221.195,921.6
WC_0036,13,447.36,270.48,1864.0,1127.0,221.195,921.6
WC_0036,14,446.88,268.8,1862.0,1120.0,221.195,921.6
WC_0036,15,449.76,267.36,1874.0,1114.0,221.195,921.6
WC_0036,16,449.76,252.24,1874.0,1051.0,221.195,921.6
WC_0036,17,447.36,251.04,1864.0,1046.0,221.195,921.6
WC_0036,18,449.52,247.92,1873.0,1033.0,221.195,921.6
WC_0036,19,449.52,240.72,1873.0,1003.0,221.195,921.6
